Location,Timestamp,mq135_raw,soil_moisture,soil_temperature,speed,light_intensity_lux,sound_level,rain_detected,estimated_ppm,temperature,humidity,pressure,altitude,uv_index
19.0890_72.8690,1752070613.9307344,463,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070627.8947995,441,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070634.8930569,448,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070641.2762132,435,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070655.4890878,438,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070664.148719,426,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070671.1347346,434,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070678.1719496,446,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070684.6297314,439,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070691.9404383,447,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070699.0131118,455,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070705.6956995,419,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070741.762727,439,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070749.4219613,433,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070756.85011,444,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070763.8392751,445,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070771.032327,457,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070785.334036,441,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070791.9102175,410,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070798.2705057,445,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070804.60984,445,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070811.7775698,437,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070818.067631,442,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
